N° medida;Fecha;Voltaje Shunt;Voltaje Bus;Voltaje total;Corriente;Potencia;Memoria Libre; Memoria Usada;Memoria Total;Proceso Node
1;2020-12-02 08:47:01.956;h;h;h;h;h;613408;334896;948304;No Activo
2;2020-12-02 08:47:02.199;h;h;h;h;h;611352;336952;948304;No Activo
3;2020-12-02 08:47:02.431;h;h;h;h;h;611260;337044;948304;No Activo
4;2020-12-02 08:47:02.673;h;h;h;h;h;611772;336532;948304;No Activo
5;2020-12-02 08:47:02.931;h;h;h;h;h;612008;336296;948304;No Activo
6;2020-12-02 08:47:03.163;h;h;h;h;h;611756;336548;948304;No Activo
7;2020-12-02 08:47:03.394;h;h;h;h;h;611848;336456;948304;No Activo
8;2020-12-02 08:47:03.626;h;h;h;h;h;612068;336236;948304;No Activo
9;2020-12-02 08:47:03.883;h;h;h;h;h;612336;335968;948304;No Activo
10;2020-12-02 08:47:04.140;h;h;h;h;h;612084;336220;948304;No Activo
11;2020-12-02 08:47:04.372;h;h;h;h;h;612344;335960;948304;No Activo
12;2020-12-02 08:47:04.604;h;h;h;h;h;612100;336204;948304;No Activo
13;2020-12-02 08:47:04.836;h;h;h;h;h;612084;336220;948304;No Activo
14;2020-12-02 08:47:05.093;h;h;h;h;h;611848;336456;948304;No Activo
15;2020-12-02 08:47:05.350;h;h;h;h;h;612084;336220;948304;No Activo
16;2020-12-02 08:47:05.582;h;h;h;h;h;612336;335968;948304;No Activo
17;2020-12-02 08:47:05.814;h;h;h;h;h;612336;335968;948304;No Activo
18;2020-12-02 08:47:06.047;h;h;h;h;h;611832;336472;948304;No Activo
19;2020-12-02 08:47:06.307;h;h;h;h;h;611832;336472;948304;No Activo
20;2020-12-02 08:47:06.566;h;h;h;h;h;612084;336220;948304;No Activo
21;2020-12-02 08:47:06.798;h;h;h;h;h;612084;336220;948304;No Activo
22;2020-12-02 08:47:07.030;h;h;h;h;h;612100;336204;948304;No Activo
23;2020-12-02 08:47:07.263;h;h;h;h;h;612084;336220;948304;No Activo
